match_id,date,home_team,away_team,opponent,home_team_score,away_team_score,result,year
portland-thorns-fc-vs-orlando-pride-2016-04-17,2016-04-17,POR,ORL,ORL,2,1,win,2016
fc-kansas-city-vs-portland-thorns-fc-2016-04-23,2016-04-23,KC,POR,KC,1,1,tie,2016
boston-breakers-vs-portland-thorns-fc-2016-05-01,2016-05-01,BOS,POR,BOS,0,1,win,2016
washington-spirit-vs-portland-thorns-fc-2016-05-07,2016-05-07,WAS,POR,WAS,0,0,tie,2016
seatle-reign-fc-vs-portland-thorns-fc-2016-05-14,2016-05-14,RGN,POR,RGN,1,1,tie,2016
portland-thorns-fc-vs-washington-spirit-2016-05-21,2016-05-21,POR,WAS,WAS,4,1,win,2016
portland-thorns-fc-vs-seatle-reign-fc-2016-05-29,2016-05-29,POR,RGN,RGN,0,0,tie,2016
chicago-red-stars-vs-portland-thorns-fc-2016-06-12,2016-06-12,CHI,POR,CHI,1,1,tie,2016
western-new-york-flash-vs-portland-thorns-fc-2016-06-17,2016-06-17,WNY,POR,WNY,0,2,win,2016
portland-thorns-fc-vs-chicago-red-stars-2016-06-22,2016-06-22,POR,CHI,CHI,2,0,win,2016
orlando-pride-vs-portland-thorns-fc-2016-06-26,2016-06-26,ORL,POR,ORL,1,2,win,2016
portland-thorns-fc-vs-sky-blue-fc-2016-07-02,2016-07-02,POR,NJY,NJY,2,1,win,2016
portland-thorns-fc-vs-fc-kansas-city-2016-07-09,2016-07-09,POR,KC,KC,1,2,loss,2016
houston-dash-vs-portland-thorns-fc-2016-07-16,2016-07-16,HOU,POR,HOU,3,0,loss,2016
portland-thorns-fc-vs-seatle-reign-fc-2016-07-30,2016-07-30,POR,RGN,RGN,1,0,win,2016
seatle-reign-fc-vs-portland-thorns-fc-2016-08-27,2016-08-27,RGN,POR,RGN,3,1,loss,2016
portland-thorns-fc-vs-boston-breakers-2016-09-04,2016-09-04,POR,BOS,BOS,5,1,win,2016
portland-thorns-fc-vs-houston-dash-2016-09-07,2016-09-07,POR,HOU,HOU,3,0,win,2016
portland-thorns-fc-vs-western-new-york-flash-2016-09-11,2016-09-11,POR,WNY,WNY,3,2,win,2016
sky-blue-fc-vs-portland-thorns-fc-2016-09-25,2016-09-25,NJY,POR,NJY,1,3,win,2016
portland-thorns-fc-vs-western-new-york-flash-2016-10-02,2016-10-02,POR,WNY,WNY,3,4,loss,2016
portland-thorns-fc-vs-orlando-pride-2017-04-15,2017-04-15,POR,ORL,ORL,2,0,win,2017
north-carolina-courage-vs-portland-thorns-fc-2017-04-22,2017-04-22,NC,POR,NC,1,0,loss,2017
portland-thorns-fc-vs-chicago-red-stars-2017-04-29,2017-04-29,POR,CHI,CHI,1,0,win,2017
portland-thorns-fc-vs-seatle-reign-fc-2017-05-06,2017-05-06,POR,RGN,RGN,2,2,tie,2017
fc-kansas-city-vs-portland-thorns-fc-2017-05-13,2017-05-13,KC,POR,KC,0,0,tie,2017
boston-breakers-vs-portland-thorns-fc-2017-05-19,2017-05-19,BOS,POR,BOS,2,2,tie,2017
portland-thorns-fc-vs-boston-breakers-2017-05-27,2017-05-27,POR,BOS,BOS,2,0,win,2017
sky-blue-fc-vs-portland-thorns-fc-2017-06-03,2017-06-03,NJY,POR,NJY,0,2,win,2017
portland-thorns-fc-vs-sky-blue-fc-2017-06-17,2017-06-17,POR,NJY,NJY,1,3,loss,2017
washington-spirit-vs-portland-thorns-fc-2017-06-24,2017-06-24,WAS,POR,WAS,1,0,loss,2017
portland-thorns-fc-vs-fc-kansas-city-2017-06-28,2017-06-28,POR,KC,KC,3,0,win,2017
seatle-reign-fc-vs-portland-thorns-fc-2017-07-01,2017-07-01,RGN,POR,RGN,2,0,loss,2017
houston-dash-vs-portland-thorns-fc-2017-07-08,2017-07-08,HOU,POR,HOU,1,1,tie,2017
portland-thorns-fc-vs-north-carolina-courage-2017-07-15,2017-07-15,POR,NC,NC,1,0,win,2017
portland-thorns-fc-vs-washington-spirit-2017-07-22,2017-07-22,POR,WAS,WAS,2,1,win,2017
